
2024/12/27 (03:07:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (03:24:32) | ===> btop++ v.1.4.0
2024/12/27 (03:24:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (04:14:09) | ===> btop++ v.1.4.0
2024/12/27 (04:14:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (13:58:40) | ===> btop++ v.1.4.0
2024/12/27 (13:58:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (17:49:39) | ===> btop++ v.1.4.0
2024/12/27 (17:49:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (17:59:00) | ===> btop++ v.1.4.0
2024/12/27 (17:59:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (18:06:04) | ===> btop++ v.1.4.0
2024/12/27 (18:06:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/30 (06:45:00) | ===> btop++ v.1.4.0
2024/12/30 (06:45:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/30 (18:38:49) | ===> btop++ v.1.4.0
2024/12/30 (18:38:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/30 (19:09:12) | ===> btop++ v.1.4.0
2024/12/30 (19:09:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/30 (19:47:05) | ===> btop++ v.1.4.0
2024/12/30 (19:47:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/30 (20:18:03) | ===> btop++ v.1.4.0
2024/12/30 (20:18:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/30 (20:25:49) | ===> btop++ v.1.4.0
2024/12/30 (20:25:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (02:10:17) | ===> btop++ v.1.4.0
2024/12/31 (02:10:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (02:32:43) | ===> btop++ v.1.4.0
2024/12/31 (02:32:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (02:35:44) | ===> btop++ v.1.4.0
2024/12/31 (02:35:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (02:38:55) | ===> btop++ v.1.4.0
2024/12/31 (02:38:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (04:00:11) | ===> btop++ v.1.4.0
2024/12/31 (04:00:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (05:07:20) | ===> btop++ v.1.4.0
2024/12/31 (05:07:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (05:21:46) | ===> btop++ v.1.4.0
2024/12/31 (05:21:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (22:54:35) | ===> btop++ v.1.4.0
2024/12/31 (22:54:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (23:13:01) | ===> btop++ v.1.4.0
2024/12/31 (23:13:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/31 (23:44:42) | ===> btop++ v.1.4.0
